,idx_2004,No_2004,Type_2004,State_2004,Winning Candidate_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,idx_2009,No_2009,Type_2009,State_2009,Winning Candidate_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,idx,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,idx_2019,No_2019,Type_2019,State_2019,Winning Candidate_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,idx_2024,No_2024,Type_2024,State_2024,Winning Candidate_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Kanpur,268.0,61.0,GEN,Uttar Pradesh [2000 Onwards],Shriprakash Jaiswal,Indian National Congress,"14,27,231","6,18,698",43.4 %,"5,638",0.9%,269.0,43.0,GEN,Uttar Pradesh [2000 Onwards],Sri Prakash Jaiswal,Indian National Congress,1390055.0,512917.0,36.9 %,18906.0,3.7%,269.0,43.0,GEN,Uttar Pradesh [2000 Onwards],Dr.Murli Manohar Joshi,Bharatiya Janta Party,1611248.0,835079.0,51.8 %,222946.0,26.7%,269.0,43.0,GEN,Uttar Pradesh [2000 Onwards],Satyadev Pachauri,Bharatiya Janta Party,"19,36,426","8,42,994",43.7 %,"1,55,934",18.5%,269.0,43.0,GEN,Uttar Pradesh [2000 Onwards],Ramesh Awasthi,Bharatiya Janta Party,"16,62,859","8,87,396",53.4 %,"20,968",2.4%
Kanthi,,,,,,,,,,,,270.0,31.0,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,1249775.0,1124817.0,90.0 %,129103.0,11.5%,270.0,31.0,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,1490409.0,1290811.0,86.6 %,229490.0,17.8%,270.0,31.0,GEN,West Bengal,Adhikari Sisir,All India Trinamool Congress,"17,93,513","14,24,247",79.9 %,"1,11,668",7.8%,270.0,31.0,GEN,West Bengal,Adhikari Soumendu,Bharatiya Janta Party,"17,94,537","15,30,997",85.3 %,"47,764",3.1%
Kapadvanj,269.0,16.0,GEN,Gujarat,Vaghela Shankersinh Laxmansinh,Indian National Congress,"12,65,350","5,95,296",47.1 %,"79,435",13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karad,270.0,45.0,GEN,Maharashtra,Patil Shriniwas Dadasaheb,Nationalist Congress Party,"11,81,744","7,13,822",60.4 %,"1,96,730",27.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karakat,,,,,,,,,,,,271.0,35.0,GEN,Bihar [2000 Onwards],Mahabali Singh,Janata Dal (United),1386634.0,577454.0,41.6 %,20483.0,3.5%,271.0,35.0,GEN,Bihar [2000 Onwards],Upendra Kushwaha,Rashtriya Lok Samta Party,1569989.0,789927.0,50.3 %,105241.0,13.3%,271.0,35.0,GEN,Bihar [2000 Onwards],Mahabali Singh,Janata Dal (United),"17,59,358","8,68,798",50.6 %,"84,542",9.7%,271.0,35.0,GEN,Bihar [2000 Onwards],Raja Ram Singh,Communist Party Of India (Marxist-Leninist) (Liberation),"18,81,191","10,31,618",53.7 %,"1,05,858",10.3%
Karimganj,271.0,1.0,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,"9,79,105","6,71,065",68.5 %,"91,948",13.7%,273.0,1.0,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,1068811.0,685740.0,64.2 %,7920.0,1.2%,273.0,1.0,SC,Assam,Radheshyam Biswas,All India United Democratic Front,1165997.0,886920.0,76.1 %,102094.0,11.5%,,,,,,,,,,,,273.0,7.0,SC,Assam,Kripanath Mallah,Bharatiya Janta Party,"14,12,148","11,46,882",81.2 %,"18,360",1.6%
Karimnagar,272.0,37.0,GEN,Andhra Pradesh,K. Chandra Shakher Rao,Telangana Rashtra Samithi,"13,44,786","8,74,367",65.0 %,"1,31,168",15.0%,274.0,3.0,GEN,Andhra Pradesh,Ponnam Prabhakar,Indian National Congress,1496211.0,991417.0,66.3 %,50243.0,5.1%,274.0,3.0,GEN,Telangana,Vinod Kumar Boinapally,Telangana Rashtra Samithi,1550834.0,1125691.0,72.6 %,205077.0,18.2%,273.0,3.0,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,"15,44,460","11,47,697",74.8 %,"89,508",7.8%,274.0,3.0,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,"17,97,150","13,12,852",73.1 %,"2,25,209",17.2%
Karnal,273.0,3.0,SC,Haryana,Arvind Kumar Sharma,Indian National Congress,"12,40,344","8,18,605",66.0 %,"1,64,762",20.1%,275.0,5.0,GEN,Haryana,Arvind Kumar Sharma,Indian National Congress,1216977.0,811067.0,66.7 %,76346.0,9.4%,275.0,5.0,GEN,Haryana,Ashwini Kumar,Bharatiya Janta Party,1684321.0,1193500.0,70.9 %,360147.0,30.2%,274.0,5.0,GEN,Haryana,Sanjay Bhatia,Bharatiya Janta Party,"18,21,231","13,00,722",71.7 %,"6,56,142",50.4%,275.0,5.0,GEN,Haryana,Manohar Lal,Bharatiya Janta Party,"21,04,229","13,45,892",64.0 %,"2,32,577",17.3%
Karol Bagh,274.0,7.0,GEN,Delhi [1977 Onwards],Krishna Tirath,Indian National Congress,"5,05,236","2,49,184",49.3 %,"37,629",15.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karur,275.0,26.0,GEN,Tamil Nadu,"Palanisamy, K. C.",Dravida Munetra Kazhagam,"10,69,359","7,42,800",69.5 %,"1,90,876",25.7%,276.0,23.0,GEN,Tamil Nadu,Thambidurai.M,All India Anna Dravida Munnetra Kazhagam,1012924.0,825860.0,81.5 %,47254.0,5.7%,276.0,23.0,GEN,Tamil Nadu,Thambiduraim.,All India Anna Dravida Munnetra Kazhagam,1298322.0,1046534.0,80.6 %,195247.0,18.7%,275.0,23.0,GEN,Tamil Nadu,Jothimani S,Indian National Congress,"13,65,804","11,03,165",81.5 %,"4,20,546",38.1%,276.0,23.0,GEN,Tamil Nadu,Jothimani. S,Indian National Congress,"14,29,790","11,32,045",79.1 %,"1,66,816",14.7%
Kasaragod,276.0,1.0,GEN,Kerala,P. Karunakaran,Communist Party Of India (MARXIST),"11,60,134","8,98,746",77.5 %,"1,08,256",12.0%,277.0,1.0,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1113892.0,848205.0,76.2 %,64427.0,7.6%,277.0,1.0,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1243730.0,974215.0,78.3 %,6921.0,0.7%,276.0,1.0,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,"13,05,827","11,00,051",84.6 %,"40,438",3.7%,277.0,1.0,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,"14,52,230","11,12,546",76.6 %,"1,00,649",9.0%
Katihar,277.0,25.0,GEN,Bihar [2000 Onwards],Nikhil Kumar Choudhary,Bharatiya Janta Party,"11,58,042","7,04,422",60.8 %,"2,565",0.4%,278.0,11.0,GEN,Bihar [2000 Onwards],Nikhil Kumar Choudhary,Bharatiya Janta Party,1272769.0,724942.0,57.0 %,14015.0,1.9%,278.0,11.0,GEN,Bihar [2000 Onwards],Tariq Anwar,Nationalist Congress Party,1446478.0,977830.0,67.6 %,114740.0,11.7%,277.0,11.0,GEN,Bihar [2000 Onwards],Dulal Chandra Goswami,Janata Dal (United),"16,45,713","11,17,734",69.2 %,"57,203",5.1%,278.0,11.0,GEN,Bihar [2000 Onwards],Tariq Anwar,Indian National Congress,"18,33,009","11,71,546",63.9 %,"49,863",4.3%
Katwa,278.0,40.0,GEN,West Bengal,Mahboob Zahedi,Communist Party Of India (MARXIST),"11,69,525","9,63,689",82.4 %,"1,43,349",14.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaushambi,,,,,,,,,,,,279.0,50.0,SC,Uttar Pradesh [2000 Onwards],Shailendra Kumar,Samajwadi Party,1391312.0,551342.0,39.6 %,55789.0,10.1%,279.0,50.0,SC,Uttar Pradesh [2000 Onwards],Vinod Kumar Sonkar,Bharatiya Janta Party,1738994.0,910038.0,52.3 %,42847.0,4.7%,278.0,50.0,SC,Uttar Pradesh [2000 Onwards],Vinod Kumar Sonkar,Bharatiya Janta Party,"17,43,036","9,74,438",56.8 %,"38,722",4.0%,279.0,50.0,SC,Uttar Pradesh [2000 Onwards],Pushpendra Saroj,Samajwadi Party,"19,09,620","10,09,329",52.9 %,"1,03,944",10.3%
Kaziranga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,10.0,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,"20,50,126","16,29,937",79.5 %,"2,48,947",15.3%
Kendrapara,279.0,5.0,ST,Orissa,Archana Nayak,Biju Janata Dal,"11,86,834","8,36,194",70.5 %,"86,843",10.4%,280.0,15.0,GEN,Orissa,Baijayant Panda,Biju Janata Dal,1434425.0,982950.0,68.5 %,127107.0,12.9%,280.0,15.0,GEN,Orissa,Baijayant Panda,Biju Janata Dal,1555444.0,1140999.0,73.4 %,209108.0,18.3%,279.0,15.0,GEN,Orissa,Anubhav Mohanty,Biju Janata Dal,"16,58,168","12,36,466",75.0 %,"1,52,584",12.3%,281.0,15.0,GEN,Orissa,Baijayant Panda,Bharatiya Janta Party,"17,92,723","12,77,108",71.2 %,"66,536",5.2%
Keonjhar,280.0,21.0,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,"11,83,472","8,14,619",68.8 %,"49,209",6.0%,281.0,4.0,ST,Orissa,Yashbant Narayan Singh Laguri,Biju Janata Dal,1265225.0,892274.0,70.5 %,126484.0,14.2%,281.0,4.0,ST,Orissa,Sakuntala Laguri,Biju Janata Dal,1346683.0,1083869.0,80.5 %,157317.0,14.5%,280.0,4.0,ST,Orissa,Chandrani Murmu,Biju Janata Dal,"14,49,996","11,76,292",82.5 %,"66,203",5.6%,282.0,4.0,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,"15,88,179","12,56,615",79.1 %,"97,042",7.7%
Khadoor Sahib,,,,,,,,,,,,282.0,3.0,GEN,Punjab,Dr. Rattan Singh Ajnala,Shiromani Akali Dal,1340145.0,946690.0,70.6 %,32260.0,3.4%,282.0,3.0,GEN,Punjab,Ranjit Singh Brahmpura,Shiromani Akali Dal,1563256.0,1040518.0,66.6 %,100569.0,9.7%,281.0,3.0,GEN,Punjab,Jasbir Singh Gill (DIMPA),Indian National Congress,"15,99,081","10,46,032",65.7 %,"1,40,573",13.4%,283.0,3.0,GEN,Punjab,Amritpal Singh,Independent,"16,67,797","10,47,165",62.8 %,"1,97,120",18.8%
Khagaria,281.0,28.0,GEN,Bihar [2000 Onwards],Rabindra Ku. Rana,Rashtriya Janata Dal,"11,96,971","6,75,969",56.5 %,"67,123",9.9%,283.0,25.0,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),1342970.0,624966.0,46.5 %,138755.0,22.2%,283.0,25.0,GEN,Bihar [2000 Onwards],Choudhary Mahboob Ali Kaiser,Lok Jan Shakti Party,1492068.0,896231.0,60.1 %,76003.0,8.5%,282.0,25.0,GEN,Bihar [2000 Onwards],Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,"16,53,928","9,66,813",58.9 %,"2,48,570",25.7%,284.0,25.0,GEN,Bihar [2000 Onwards],Rajesh Verma,Lok Janshakti Party(Ram Vilas),"18,40,217","10,61,894",57.7 %,"1,61,131",15.2%
Khajuraho,282.0,6.0,SC,Madhya Pradesh [2000 Onwards],"Dr. Ramkrishna Kushmariya "" Baba Jee """,Bharatiya Janta Party,"15,52,876","7,71,830",49.7 %,"1,11,781",14.5%,284.0,8.0,GEN,Madhya Pradesh [2000 Onwards],Jeetendra Singh Bundela,Bharatiya Janta Party,1349511.0,583085.0,43.2 %,28332.0,4.9%,284.0,8.0,GEN,Madhya Pradesh [2000 Onwards],Nagendra Singh,Bharatiya Janta Party,1702794.0,874477.0,51.4 %,247490.0,28.3%,283.0,8.0,GEN,Madhya Pradesh [2000 Onwards],V.D. Sharma (VISHNU DATT SHARMA),Bharatiya Janta Party,"18,01,044","12,57,783",70.4 %,"4,92,382",39.1%,285.0,8.0,GEN,Madhya Pradesh [2000 Onwards],Vishnu Datt Sharma (V.D.SHARMA),Bharatiya Janta Party,"19,97,483","11,40,570",57.1 %,"5,41,229",47.5%
Khalilabad,283.0,32.0,SC,Uttar Pradesh [2000 Onwards],Bhalchandra Yadava,Bahujan Samaj Party,"13,97,045","7,00,982",50.2 %,"27,023",3.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khammam,284.0,40.0,GEN,Andhra Pradesh,Renuka Chowdhury,Indian National Congress,"12,98,614","10,20,523",78.6 %,"1,08,888",10.7%,285.0,17.0,GEN,Andhra Pradesh,Nama Nageswara Rao,Telugu Desam,1259815.0,1038421.0,82.4 %,124448.0,12.0%,285.0,17.0,GEN,Telangana,Ponguleti Srinivasa Reddy,Yuvajana Sramika Rythu Congress Party,1440289.0,1182897.0,82.1 %,11974.0,1.0%,284.0,17.0,GEN,Telangana,Nama Nageswr Rao,Telangana Rashtra Samithi,"14,41,181","11,39,831",80.2 %,"1,68,062",14.7%,286.0,17.0,GEN,Telangana,Ramasahayam Raghuram Reddy,Indian National Congress,"16,31,039","12,51,283",76.7 %,"4,67,847",37.4%
Khandwa,285.0,23.0,GEN,Madhya Pradesh [2000 Onwards],Nand Kumar Singh Chauhan ( NANDU BHAIYA),Bharatiya Janta Party,"12,17,726","6,05,099",49.7 %,"1,02,737",17.0%,286.0,28.0,GEN,Madhya Pradesh [2000 Onwards],Arun Subhashchandra Yadav,Indian National Congress,1355325.0,813214.0,60.0 %,49081.0,6.0%,286.0,28.0,GEN,Madhya Pradesh [2000 Onwards],Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1759410.0,1257327.0,71.5 %,259714.0,20.7%,285.0,28.0,GEN,Madhya Pradesh [2000 Onwards],Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,"18,49,606","14,68,138",80.2 %,"2,73,343",18.6%,287.0,28.0,GEN,Madhya Pradesh [2000 Onwards],Gyaneshwar Patil,Bharatiya Janta Party,"21,12,203","15,12,542",71.6 %,"2,69,971",17.8%
Khargone,286.0,24.0,ST,Madhya Pradesh [2000 Onwards],Krishna Murari Moghe,Bharatiya Janta Party,"12,87,299","6,51,747",50.6 %,"58,617",9.0%,287.0,27.0,ST,Madhya Pradesh [2000 Onwards],Makansingh Solanki (Babuji),Bharatiya Janta Party,1263778.0,760779.0,60.2 %,34175.0,4.5%,287.0,27.0,ST,Madhya Pradesh [2000 Onwards],Subhash Patel,Bharatiya Janta Party,1703271.0,1152525.0,67.7 %,257879.0,22.4%,286.0,27.0,ST,Madhya Pradesh [2000 Onwards],Gajendra Umrao Singh Patel,Bharatiya Janta Party,"17,83,776","14,27,607",81.1 %,"2,02,510",14.2%,288.0,27.0,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Patel,Bharatiya Janta Party,"20,46,030","15,58,778",76.2 %,"1,35,018",8.7%
Kheri,288.0,11.0,GEN,Uttar Pradesh [2000 Onwards],Ravi Prakash Verma,Samajwadi Party,"14,37,563","7,06,706",49.2 %,"11,760",1.7%,289.0,28.0,GEN,Uttar Pradesh [2000 Onwards],Zafar Ali Naqvi,Indian National Congress,1297088.0,707983.0,54.6 %,8777.0,1.2%,289.0,28.0,GEN,Uttar Pradesh [2000 Onwards],Ajay Kumar,Bharatiya Janta Party,1679466.0,1077868.0,64.2 %,110274.0,10.2%,288.0,28.0,GEN,Uttar Pradesh [2000 Onwards],Ajay Kumar,Bharatiya Janta Party,"17,29,085","11,36,660",66.2 %,"2,18,807",19.2%,290.0,28.0,GEN,Uttar Pradesh [2000 Onwards],Utkarsh Verma Madhur,Samajwadi Party,"18,70,170","12,13,359",64.9 %,"34,329",2.8%
Khunti,289.0,11.0,ST,Jharkhand,Sushila Kerketta,Indian National Congress,"9,04,846","4,90,772",54.2 %,"51,226",10.4%,290.0,11.0,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,980868.0,510352.0,52.0 %,80175.0,15.7%,290.0,11.0,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,1111852.0,736955.0,66.3 %,92248.0,12.5%,289.0,11.0,ST,Jharkhand,Arjun Munda,Bharatiya Janta Party,"11,65,658","8,32,377",73.2 %,"1,445",0.2%,291.0,11.0,ST,Jharkhand,Kali Charan Munda,Indian National Congress,"13,26,138","9,36,682",70.6 %,"1,49,675",16.0%
Khurja,290.0,73.0,GEN,Uttar Pradesh [2000 Onwards],Ashok Kumar Pradhan,Bharatiya Janta Party,"14,57,828","6,01,160",41.2 %,"41,150",6.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kishanganj,291.0,23.0,SC,Bihar [2000 Onwards],Taslimuddin,Rashtriya Janata Dal,"12,78,476","8,13,315",63.6 %,"1,60,497",19.7%,291.0,10.0,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,1186369.0,626914.0,52.8 %,80269.0,12.8%,291.0,10.0,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,1438990.0,928490.0,64.5 %,194612.0,21.0%,290.0,10.0,GEN,Bihar [2000 Onwards],Dr. Mohammad Jawed,Indian National Congress,"16,52,940","11,01,603",67.8 %,"34,466",3.1%,292.0,10.0,GEN,Bihar [2000 Onwards],Mohammad Jawed,Indian National Congress,"18,29,994","11,51,099",62.9 %,"59,692",5.2%
Kodarma,292.0,5.0,GEN,Jharkhand,Babulal Marandi,Bharatiya Janta Party,"13,25,734","8,25,697",62.3 %,"1,54,944",18.8%,292.0,5.0,GEN,Jharkhand,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),1390428.0,780555.0,56.1 %,48520.0,6.2%,292.0,5.0,GEN,Jharkhand,Ravindra Kr. Ray,Bharatiya Janta Party,1639629.0,1024906.0,62.5 %,98654.0,9.6%,291.0,5.0,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,"17,65,156","12,09,541",70.3 %,"4,55,600",37.7%,293.0,5.0,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,"22,05,318","13,69,964",62.1 %,"3,77,014",27.5%
Kokrajhar,293.0,5.0,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Independent,"12,16,553","9,66,915",79.5 %,"4,84,129",50.1%,293.0,5.0,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Bodaland Peoples Front,1377837.0,1015053.0,73.7 %,190322.0,18.7%,293.0,5.0,ST,Assam,Naba Kumar Sarania (HIRA),Independent,1505476.0,1223869.0,81.3 %,355779.0,29.1%,292.0,5.0,ST,Assam,Naba Kumar Sarania,Independent,"15,10,051","14,79,485",99.0 %,"37,786",2.6%,294.0,1.0,ST,Assam,Joyanta Basumatary,United Peoples Party Liberal,"14,84,571","12,41,496",83.6 %,"51,583",4.2%
Kolaba,294.0,3.0,GEN,Maharashtra,Barrister A. R. Antulay,Indian National Congress,"12,50,272","7,91,940",63.3 %,"31,870",4.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolar,295.0,10.0,GEN,Karnataka,K.H. Muniyappa,Indian National Congress,"12,62,765","9,07,296",71.9 %,"11,635",1.3%,294.0,28.0,SC,Karnataka,K.H.Muniyappa,Indian National Congress,1340923.0,928350.0,69.2 %,23006.0,2.5%,294.0,28.0,SC,Karnataka,K.H.Muniyappa,Indian National Congress,1492975.0,1127323.0,75.5 %,47850.0,4.2%,293.0,28.0,SC,Karnataka,S. Muniswamy,Bharatiya Janta Party,"16,08,229","12,58,551",79.1 %,"2,10,021",16.7%,295.0,28.0,SC,Karnataka,M. Mallesh Babu,Janata Dal (Secular),"17,26,914","13,55,228",78.5 %,"71,388",5.3%
Kolhapur,296.0,48.0,GEN,Maharashtra,Mandlik Sadashivrao Dadoba,Nationalist Congress Party,"11,62,212","8,11,534",69.8 %,"14,753",1.8%,295.0,47.0,GEN,Maharashtra,Sadashivrao Dadoba Mandlik,Independent,1583030.0,1029203.0,65.0 %,44800.0,4.4%,295.0,47.0,GEN,Maharashtra,Dhananjay Bhimrao Mahadik,Nationalist Congress Party,1758300.0,1260289.0,71.7 %,33259.0,2.6%,294.0,47.0,GEN,Maharashtra,Sanjay Sadashivrao Mandlik,Shiv Sena,"18,05,949","13,30,852",74.2 %,"2,70,568",20.3%,296.0,47.0,GEN,Maharashtra,Chhatrapati Shahu Shahaji,Indian National Congress,"19,36,403","13,93,326",72.0 %,"1,54,964",11.1%
Kolkata Dakshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0,23.0,GEN,West Bengal,Mala Roy,All India Trinamool Congress,"19,04,710","12,06,645",64.1 %,"1,55,192",12.9%,297.0,23.0,GEN,West Bengal,Mala Roy,All India Trinamool Congress,"18,49,520","12,43,477",67.2 %,"1,87,231",15.1%
Kolkata Dakshin,,,,,,,,,,,,296.0,23.0,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,1505638.0,1008329.0,67.0 %,219571.0,21.8%,296.0,23.0,GEN,West Bengal,Subrata Bakshi,All India Trinamool Congress,1685296.0,1167979.0,69.3 %,136339.0,11.7%,,,,,,,,,,,,,,,,,,,,,,
Kolkata Uttar,,,,,,,,,,,,297.0,24.0,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,1366647.0,878866.0,64.3 %,109278.0,12.4%,297.0,24.0,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,1433985.0,955778.0,66.7 %,96226.0,10.1%,296.0,24.0,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,"16,18,835","9,50,613",59.1 %,"1,27,095",13.4%,298.0,24.0,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,"15,05,356","9,58,433",63.7 %,"92,560",9.7%
Kollam,,,,,,,,,,,,298.0,18.0,GEN,Kerala,N.Peethambarakurup,Indian National Congress,1108686.0,754928.0,68.1 %,17531.0,2.3%,298.0,18.0,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1219415.0,879056.0,72.1 %,37649.0,4.3%,297.0,18.0,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,"12,42,521","9,68,123",78.4 %,"1,48,856",15.4%,299.0,18.0,GEN,Kerala,N K Premachandran,Revolutionary Socialist Party,"13,26,648","9,15,691",69.0 %,"1,50,302",16.4%
Kopargaon,297.0,40.0,GEN,Maharashtra,E.  V.  Alias Balasaheb Vikhe Patil,Indian National Congress,"10,77,519","6,66,950",61.9 %,"87,331",13.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koppal,298.0,4.0,SC,Karnataka,K. Virupaxappa,Indian National Congress,"14,13,496","8,92,586",63.2 %,"43,623",4.9%,299.0,8.0,GEN,Karnataka,Shivaramagouda Shivanagouda,Bharatiya Janta Party,1363431.0,754803.0,55.4 %,81789.0,10.8%,299.0,8.0,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,1535105.0,1006508.0,65.6 %,32414.0,3.2%,298.0,8.0,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,"17,06,900","11,90,347",70.4 %,"38,397",3.2%,300.0,8.0,GEN,Karnataka,K. Rajashekar Basavaraj Hitnal,Indian National Congress,"18,66,397","13,28,936",71.2 %,"46,357",3.5%
Koraput,299.0,12.0,ST,Orissa,Giridhar Gamang,Indian National Congress,"11,39,590","7,35,544",64.5 %,"43,267",5.9%,300.0,21.0,ST,Orissa,Jayaram Pangi,Biju Janata Dal,1217768.0,759610.0,62.4 %,96360.0,12.7%,300.0,21.0,ST,Orissa,Jhina Hikaka,Biju Janata Dal,1300437.0,989444.0,76.1 %,19328.0,2.0%,299.0,21.0,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,"13,85,228","10,80,161",80.6 %,"3,613",0.3%,301.0,21.0,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,"14,80,922","11,48,842",77.6 %,"1,47,744",12.9%
Korba,,,,,,,,,,,,301.0,4.0,GEN,Chhattisgarh,Charan Das Mahant,Indian National Congress,1276443.0,745617.0,58.4 %,20737.0,2.8%,301.0,4.0,GEN,Chhattisgarh,Dr. Banshilal Mahto,Bharatiya Janta Party,1419610.0,1052720.0,74.2 %,4265.0,0.4%,300.0,4.0,GEN,Chhattisgarh,Jyotsna Charandas Mahant,Indian National Congress,"13,40,544","11,37,003",86.3 %,"26,349",2.3%,302.0,4.0,GEN,Chhattisgarh,Jyotsna Charandas Mahant,Indian National Congress,"16,18,864","12,25,313",75.7 %,"43,283",3.5%
Kota,300.0,14.0,GEN,Rajasthan,Raghuveer Singh Koshal,Bharatiya Janta Party,"13,27,073","5,78,740",43.6 %,"71,778",12.4%,302.0,24.0,GEN,Rajasthan,Ijyaraj Singh,Indian National Congress,1498971.0,682181.0,45.5 %,83093.0,12.2%,302.0,24.0,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,1744539.0,1154960.0,66.2 %,200782.0,17.4%,301.0,24.0,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,"19,00,514","13,67,034",72.6 %,"2,79,677",20.5%,303.0,24.0,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,"20,88,023","15,00,157",71.9 %,"41,974",2.8%
Kottayam,301.0,13.0,GEN,Kerala,K. Suresh Kurup,Communist Party Of India (MARXIST),"9,63,886","7,03,486",73.0 %,"42,914",6.1%,303.0,14.0,GEN,Kerala,Jose K.Mani (Karingozheckal),Kerala Congress(M),1095242.0,809844.0,73.9 %,71570.0,8.8%,303.0,14.0,GEN,Kerala,Jose K. Mani,Kerala Congress(M),1161463.0,831636.0,71.6 %,120599.0,14.5%,302.0,14.0,GEN,Kerala,Thomas Chazhikadan,Kerala Congress(M),"11,68,104","9,10,339",78.6 %,"1,06,259",11.7%,304.0,14.0,GEN,Kerala,Adv K Francis George,Kerala Congress,"12,54,823","8,36,223",66.6 %,"87,266",10.4%
Kozhikode,,,,,,,,,,,,304.0,5.0,GEN,Kerala,M.K. Raghavan,Indian National Congress,1053817.0,799996.0,75.9 %,838.0,0.1%,304.0,5.0,GEN,Kerala,M .K Raghavan,Indian National Congress,1182484.0,943009.0,79.8 %,16883.0,1.8%,303.0,5.0,GEN,Kerala,M.K.Raghavan,Indian National Congress,"12,45,068","10,76,193",86.7 %,"85,225",7.9%,305.0,5.0,GEN,Kerala,M. K. Raghavan,Indian National Congress,"14,29,631","10,90,050",76.3 %,"1,46,176",13.4%
Krishnagiri,303.0,14.0,GEN,Tamil Nadu,Sugavanam. E. G,Dravida Munetra Kazhagam,"12,52,580","7,37,744",58.9 %,"1,19,222",16.2%,305.0,9.0,GEN,Tamil Nadu,Sugavanam. E.G.,Dravida Munetra Kazhagam,1014758.0,752583.0,74.2 %,76598.0,10.2%,305.0,9.0,GEN,Tamil Nadu,Ashok Kumar.K,All India Anna Dravida Munnetra Kazhagam,1379957.0,1068391.0,77.4 %,206591.0,19.3%,304.0,9.0,GEN,Tamil Nadu,Dr.A.Chellakumar,Indian National Congress,"14,82,269","11,61,369",79.7 %,"1,56,765",13.5%,306.0,9.0,GEN,Tamil Nadu,Gopinath K,Indian National Congress,"16,23,179","11,66,156",71.8 %,"1,92,486",16.5%
